text,page_number,title,creation_date,source
"# Argentina

BUENOS AIRES BY WAY OF SYDNEY, LIVING SEAFOOD, CLASSIC STREET PIES, AND “THE TEMPLE OF ALL THINGS MEAT”

In Sydney, Tony spent time in the company of Ben Milgate and Elvis Abrahanowicz, chef-owners of “the wonderful, absurdly delicious, crazy-ass Argentinean-themed Porteño—a restaurant that takes the new-to-Australia craze for fatty hunks of meat to, well, extreme lengths. The animals rotate slowly, slowly on the track on wheels, right in the middle of the dining room. Nearby, the wood-burning parrilla. It’s hot on the meat station, hot enough to melt those tattoos right off, but these are some dedicated motherfuckers.” Since Tony’s 2012 visit, the restaurant has relocated (and taken its open-fire equipment with it). In keeping with plant-forward dietary trends, some of the grill’s real estate has been given over to vegetables, though the beloved whole pigs, sides of beef, blood sausages, and sweetbreads remain. Gone, alas, is Gardel’s, the bar upstairs from the original location, where first-come, first-served guests waited patiently with a drink; fortunately, however, Porteño now accepts reservations.

PORTEÑO: 50 Holt Street, Surry Hills, Sydney, Tel +61 2 8399 1440, www.porteno.com.au (average meal about $A120/US$82 per person)

Golden Century is “where all the chefs—and I mean all the chefs—go sooner or later. Mostly later, like late at night when drunk, after service.” Wherever there’s a thriving urban restaurant culture, there are these chef havens, for late-night camaraderie. “When you’re in the restaurant business, you really feel, especially after a shift, you can’t talk to normal people. You need to see people who understand what kind of a strange and terrible world you live in, you know?” At Golden Century, which Linda and Eric Wong have owned and operated for over thirty years, restaurant lifers and civilians alike choose their supper from “tank after tank of the fruits of the sea, right to your plate, after a brief interval in the wok, served with a cold beer or three.” Or a bottle of wine: the list is impressively broad and deep, especially given the simplicity of the room and the no-frills service. Early in the day, classic dim sum service is also available. Try the mud crabs, wok fried with ginger and shallots. Or, if you’re feeling bold, order the whole raw and cooked lobster dish: “Cut, remove brains, extract tail meat, then dice. Pair with raw salmon and oysters. It emerges from a thick cloud of dry ice like Zeppelin at the Garden, 1975. And the rest of Mr. Lobster, salt-and-pepper style, batter fried with Sichuan peppercorns. If there’s an Aussie national dish, this might well be it.”",28,Argentina,2025-12-22,World Travel Book
"# Australia

GOLDEN CENTURY: 393–399 Sussex Street, Sydney 2000, Tel +61 2 9212 3901, www.goldencentury.com/au (about $A80/US$55 per person)

“Curried beef, a heaping scoop of mashed potatoes, a volcano crater full of mushy peas, and an eruption of brown gravy. Come on, you know you want that. Look at that: a volcano of love. This is one of those things you just kinda gotta do in Sydney.”
Grab a plastic fork and a beer and you’re ready for the Curried Tiger Pie, the signature dish at Harry’s Café de Wheels, a once mobile cart, now a permanently affixed kiosk, vending meat-filled pastries in the eastern suburb of Woolloomooloo since 1938 (with a brief respite during World War II, so that its founder, Harry “Tiger” Edwards, could enlist in the Second Australian Imperial Force).
“It may not be the best meat pie in the world, or even in Sydney, but it is certainly the most famous, it is certainly the most traditional, even inevitable. And it’s just damned good. You’ve only got to ask yourself, of any town, ‘What do they do better in this town than anyplace else?’ And the meat pies are pretty fucking good here.” In addition to the flagship, there are now multiple Harry’s locations around Sydney and its suburbs, as well as outposts near Melbourne, Newcastle, and Shenzhen, China.

HARRY’S CAFÉ DE WHEELS: Corner of Cowper Wharf Roadway and Dowling Street, Woolloomooloo, NSW 2011, Tel +02 9357 3074, www.harryscafedewheels.com.au (pies and hot dogs from about $A6 to $10/US$4–$7)

“This is the most magnificent butcher shop, the temple of all things meat on the planet. Victor Churchill’s was the oldest butcher shop in Sydney, dating back to 1876, but now, after an enormously expensive renovation, it is the realization of a dream, a gift from Anthony Puharich to his father, Victor Puharich, a third-generation butcher who emigrated here from Croatia, and busted his ass to send his son to school and take care of his family.”
Victor has since become one of the largest wholesale meat cutters in the country, and his retail shop is indeed exquisite, more like a fine clothing or jewelry shop than a meat-cutting room.
“This is not business: this is love. The antique slicer, the glass-encased cutting rooms, the old wood boards. Refrigerated shelves show off a dizzying array of classic French pâtés, terrines, and charcuterie.”
In addition to cuts of raw and dry-aged meat, all of it raised domestically, Victor Churchill proffers a wide range of charcuterie, pâtés, terrines, and sausages with French, Spanish, and Italian roots, as well as chickens cooked on an antique rotisserie.",29,Australia,2025-12-22,World Travel Book
# Australia,30,Australia,2025-12-22,World Travel Book
NO_CONTENT_HERE,31,General,2025-12-22,World Travel Book
NO_CONTENT_HERE,32,General,2025-12-22,World Travel Book
"# Austria

Vienna

“Any country where they speak German, I’m already kind of ambivalent about.”
Tony’s Christmastime visit to Vienna, for No Reservations, is a great example of a
trip in which his initial reluctance to enjoy a place was slowly, and to his surprise,
replaced by enchantment.
“Vienna: capital city of Austria, once the seat of the gigantic Austro-Hungarian
Empire and now a city of 1.3 million people. I’ve always been hesitant to come
here, for no good reasons, really; unreasonable prejudice and the aftermath of
childhood trauma.
“When I was a kid, I had an Austrian barber named Helmut who invariably
butchered me into looking like one of the Little Rascals as I sat under a mural of
an Alpine vista. Then there was The Sound of Music, which was set in Salzburg,
not Vienna, but    which I hated and always associated with anywhere in the
neighborhood. And then there’s all those amazing traditional pastries and sweets
for which Austria has always been justifiably famous. I don’t really like sweets.
That’s why I stayed away.”
Although Vienna is such a culturally rich city, having seen centuries of empires rise
and fall, an important breeding ground for musicians (the elder and younger Johann
Strauss, Johannes Brahms, Anton Bruckner, Gustav Mahler); artists (Gustav Klimt, Egon
Schiele); architects (Otto Wagner, Adolf Loos); as well as the father of modern
psychoanalysis, Sigmund Freud—despite all this, Tony was immune to its charms. Or
rather, he was immune, until he discovered an Austrian antitradition that appealed to his
dark sensibilities.
“Krampus Day: a day where people dress up in furs and demon outfits to honor
Saint Nick’s evil counterpart, Krampus. He’s sort of like Santa’s enforcer. You’re
not on Santa’s nice list, but on his naughty list? Krampus comes over and fucks you
all up.” He would later try to work an animated Krampus segment into one of the",33,Austria,2025-12-22,World Travel Book
"# Austria

legendarily twisted No Reservations holiday specials, but it was, ultimately, too dark
for the network.
“I just had a lotta mixed emotions about the place, which is maybe why I’ve put
off coming here for so long, but I have to say, I find it charming here. I’ve found
chefs pushing the boundaries of taste and, frankly, decency, with really good,
simple food and a place that understands the power of pork. This city has turned
me around, the ghost of Christmas present has shown me something new. I feel
vaguely Christmasy. Yeah, I feel like Scrooge, you know, at the end when he gets
all happy and wants to buy gifts and stuff. Merry fucking Christmas, everybody.”

ARRIVAL AND GETTING AROUND

Vienna International Airport (VIE) is the country’s largest, handling hundreds of
flights within Europe each day, along with several to and from Africa, Asia, and North
America. VIE is the headquarters and hub for Austrian Airlines.
VIE is about eleven miles from the city center; a metered taxi, widely available in
ranks outside the terminals, will take twenty to thirty minutes, depending on traffic, and
will cost about 35 euros/US$39, plus the expected 10 percent tip. The City Airport
Train (CAT) is another option, taking passengers from the airport to Wien Mitte train
station, in the city center, in just sixteen minutes, for 12 euros/US$13.25 one way, or 21
euros/US$23 round trip; children up to fourteen years old travel for free. Those
departing the city for the airport can also check luggage and obtain passes for upcoming
flights upon boarding the CAT at the train station. See www.cityairporttrain.com for
details.
Once in town, the Viennese public transport system, Wiener Linien, composed of
subways, local trains, buses, and trams, is comprehensive, excellent, and easy to use.
Single rides cost just over 2 euros, with various volume discount passes available. All
modes of transport operate on an honor system, meaning there are no formal ticket
checks or turnstiles, just plainclothes agents who will occasionally check all tickets and
issue steep fines for those who have not paid a fare.

FERRIS WHEEL

Inside one of Vienna’s largest public parks, the Prater, is an amusement park, the
Wurstelprater, and inside of that is the world’s oldest operating Ferris wheel, originally
built in 1897, and rebuilt, after a fire, in 1945. Climb into one of its boxy, windowed
wooden cabins for a true thrill ride, 212 feet in the air.",34,Austria,2025-12-22,World Travel Book
"# Austria

“One of the     more   famous scenes   from film history         happened here: the
Riesenrad Ferris wheel at the Prater. Orson Welles and Joseph Cotton; film, The
Third Man. Orson Welles, playing Harry Lime, has agreed to meet his old friend
Holly Martins at the Prater, and take the Ferris wheel up. And up top, in rather
menacing fashion, he slides the door open, which, shockingly, you’re not allowed to
do. He looks down and he’s at the famous speech [which Tony more or less
approximated from memory; Harry’s dialogue, from the screenplay by Graham
Greene, is as follows]:
‘Don’t be melodramatic. Look down there. Would you feel any pity if one of
those dots stopped moving forever? If I offered you twenty thousand pounds for
every dot that stopped, would you really, old man, tell me to keep my money?’”
The Riesenrad   may    be old, but   it  is  scrupulously maintained, having    been
refurbished several times in the postwar years, with a backup generator in case the
power is cut, and manual operation capacity should all else fail.

RIESENRAD FERRIS WHEEL: Riesenradplatz 1, 1020 Vienna, Tel +43 1
7295430, www.wienerriesenrad.com (adults, 12 euros/US$13.25; children 3–14, 5
euros/US$5.50; children under 3 free)

SERIOUS PORK AT THE NASCHMARKT

“Since I’ve been so rude and dismissive of all things Austrian, I don’t have any
friends here. Fortunately, my driver turns out to also be an erudite young man of
many facets: Clemens, a DJ, gourmand, professional driver, enabler, and good
fucking guy. And he knows what I like.”
It’s hard not to like the        Naschmarkt, Vienna’s largest outdoor market, with about
120 stalls of produce, meats, fish, poultry, cheeses, baked goods, imports from the
Middle East, Asia, and India, and a Saturday flea market, plus a number of bars, cafés,
and restaurants.
“Clemens guided me        through the            Naschmarkt for its meat-centric central
destination, Urbanek. Urbanek is magnificent; my kind of wonderland; a justifiably
famous center of man-on-pork love. . . . Rarely have I seen so much good stuff in
one tiny, tiny little place. Great cheese, most of which I’m unfamiliar with. Hams
and cured pork products that would give even Hef an unassisted stiffy. A family
business, of course, run by Gerhard [Urbanek] and his sons, Thomas and Daniel.”
Sample a bit of everything, then take away a package of ham, smoked pork, and
cheese, to be made into a cordon bleu: wrapped in a pounded pork loin, breaded, and
deep-fried in pork fat, in a little kitchen at the back of butcher Huerta Gruber’s shop.",35,Austria,2025-12-22,World Travel Book
"# Austria

Alas, Gruber died in 2013, and her shop has closed, but there are other purveyors of cordon bleu in Vienna; inquire of the Urbanek family, or a trusted Austrian guide.

NASCHMARKT: Linke &#x26; Rechte Wienzeile, Vienna, Tel +43 1 40005430, www.wien.gv.at

URBANEK: Naschmarkt, stall 46, Vienna, Tel +43 1 1 5872080 (wine, ham, bread, and cheese for two people, about 50 euros/US$55)",36,Austria,2025-12-22,World Travel Book
NO_CONTENT_HERE,37,General,2025-12-22,World Travel Book
NO_CONTENT_HERE,38,General,2025-12-22,World Travel Book
"# Bhutan

“Bhutan: a remote, relatively rarely visited kingdom of myth and legend, high in the Himalayas, known as ‘land of the thunder dragon.’ [Bhutan] has existed contentedly, in a state of self-imposed isolation, for centuries.
“Located between India and Tibet, Bhutan, about the size of Switzerland, is caught between the old world and the new. Tourism was only allowed starting in the 1970s. The number of foreign visitors each year is strictly limited, to protect Bhutan’s culture and environment. There are no Starbucks, no KFCs, no king or clown. Basically, they don’t want you to come here, at least not en masse.
“Until about fifteen years ago, the East-West Highway was the only road in Bhutan. Bisecting the country, it twists through some pretty gnarly mountain passes, with, at times, a crumbly cliff face on one side and harrowing freaking drop-offs on the other. The road is undergoing a major expansion, with plans to have it fully paved by, well . . . soon.
“Respect for the natural world is fundamental to Bhutan’s spiritual identity. More than half the country is off-limits to development or timbering. A whopping 50 percent of Bhutan’s GDP comes from hydropower.”

ARRIVAL

“One of the reasons [Bhutan’s] not on the tourist trail is it’s hard to get to. Flying in, you hang on to your seat as the plane negotiates some alarming maneuvers through narrow mountain passes, before dropping into the country’s only international airport [Paro], said by some to be the most dangerous in the world.” There are three airlines that fly into that airport, Paro (PBH), from Bangkok, Singapore, Kathmandu, and a handful of Indian and Bhutanese cities. These are Bhutan Airlines, Drukair, and Buddha Air. Pilots must be specifically certified to land at Paro, because of its geographic challenges, and landings are limited to daylight hours. Taxis are available for hire, though you may want to arrange one in advance, through a reputable travel company, to avoid the scrum of drivers competing for your business.",39,Bhutan,2025-12-22,World Travel Book
"# Bhutan

upon arrival, and also to avoid the typical tourist overcharge. Indian rupees are widely accepted as currency, as is the Bhutanese ngultrum, whose value is pegged to the rupee. The fare from Paro to the capital, Thimphu, about a thirty-mile drive, should cost about 1,100 rupees/ngultrum, or $15–$20 USD, for a four-passenger car. Tips haven’t traditionally been part of the culture, but they are becoming more widely accepted and expected as the tourist industry expands in the country. Ten to 20 percent is a good tip for a taxi driver; in restaurants and hotels, the same applies, but do examine your check to see if a service charge has already been added.

AT HOME IN AMAN

Tony was taken with the various luxury Aman resorts he called home while traversing Bhutan. Designed by the esteemed late Australian architect Kerry Hill, with an exquisite sensitivity to the surroundings, using the raw materials of the region whenever possible, the Aman properties are supremely quiet and restful, as befits a little-discovered Himalayan kingdom. In Thimphu, Tony stayed at the Amankora hotel, the flagship Aman property in Bhutan, located on a forested hillside and styled after a Bhutanese dzong, or fortress. In Punakha, Bumthang, and Paro, he stayed in Amankora lodges. At all four properties, the spacious wood-and-metal-clad open-plan bedrooms feature woodstoves (lit by hotel staff), king-size beds, huge bathtubs, and all-inclusive dining room and room service options.",40,Bhutan,2025-12-22,World Travel Book
